"Part";"Value";"Device";"Footprint Name";"Detailed Description";"";
"R1";"4.3K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R2";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R3";"4.3K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R4";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R5";"4.3K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R6";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R7";"4.3K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R8";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R11";"32k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R12";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R16";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R17";"2K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"SHUNT_TERM_BLK";"TERM-BLK-2P";"2828XX-2282837-2";"TERMBLK_508-2N";"2 Position Wire to Board Terminal Block Horizontal with Board";"";
"STEPPER_HEADER";"PINHD-1X04_1X04M";"PINHD-1X04_1X04M";"1X04";"";"";
"SW1";"D6R90F2LFSD6R90_CNK";"D6R90F2LFSD6R90_CNK";"D6R90_CNK";"";"";
"SW2";"500SSP3S1M6QEASW3_500SSP3S1M6QEA_EWI";"500SSP3S1M6QEASW3_500SSP3S1M6QEA_EWI";"SW3_500SSP3S1M6QEA_EWI";"";"";
"SW5";"D6R90F2LFSD6R90_CNK";"D6R90F2LFSD6R90_CNK";"D6R90_CNK";"";"";
"SW6";"D6R90F2LFSD6R90_CNK";"D6R90F2LFSD6R90_CNK";"D6R90_CNK";"";"";
"SW7";"D6R90F2LFSD6R90_CNK";"D6R90F2LFSD6R90_CNK";"D6R90_CNK";"";"";
"TP_BATTERY";"PINHD-1X5";"PINHD-1X5";"1X05";"PIN HEADER";"";
"TP_LCD";"PINHD-1X03_1X03M";"PINHD-1X03_1X03M";"1X03";"";"";
"TP_OPAMP";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"";
"TP_POWER";"PINHD-1X3";"PINHD-1X3";"1X03";"PIN HEADER";"";
"TP_STEPPER";"PINHD-1X03_1X03M";"PINHD-1X03_1X03M";"1X03";"";"";
"TP_USART";"PINHD-1X02_1X02M";"PINHD-1X02_1X02M";"1X02";"";"";
"U$1";"FUSE_1A";"FUSE_1A";"FUSE";"";"";
"U$4";"BUZZER_";"BUZZER_";"BUZZER";"";"";
"USART_HEADER";"PINHD-1X6";"PINHD-1X6";"1X06";"PIN HEADER";"";
